"Business Unit ","Supplier Name","Supplier Number","Supplier Site Code","Legal Entity Name","Invoice Number","Invoice Amount","Invoice Type","Invoice Date","Invoice Source","Payment Term","Invoice Currency","Payment Currency","Invoice Status ","Amount Paid","Payment Date","GL Date","Line Number","Line Type","Line Amount","PO Line Status ","Tax Classification Code","Overlay Dist Code Concat","PO Number ","Invoice Image URL"
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,22,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,23,"Item",6.26,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,24,"Item",5.89,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,25,"Item",6.26,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,26,"Item",5.69,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,27,"Item",4.39,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,28,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,29,"Item",4.39,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,30,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,31,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,32,"Item",11.04,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,33,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,34,"Item",3.84,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,35,"Item",5.69,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,36,"Item",16.25,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7183674",605.80,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,37,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
