"Business Unit ","Supplier Name","Supplier Number","Supplier Site Code","Legal Entity Name","Invoice Number","Invoice Amount","Invoice Type","Invoice Date","Invoice Source","Payment Term","Invoice Currency","Payment Currency","Invoice Status ","Amount Paid","Payment Date","GL Date","Line Number","Line Type","Line Amount","PO Line Status ","Tax Classification Code","Overlay Dist Code Concat","PO Number ","Invoice Image URL"
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,1,"Item",10.17,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,2,"Item",6.74,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,3,"Item",0.57,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,4,"Item",5.59,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,5,"Item",8.90,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,6,"Item",0.57,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,7,"Item",0.57,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,8,"Item",0.57,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7187345",40.40,"Standard","10/10/2025","INTLB02","Immediate","GBP","GBP","Needs revalidation",0.00,,,9,"Tax",6.74,,,,,
