"Business Unit ","Supplier Name","Supplier Number","Supplier Site Code","Legal Entity Name","Invoice Number","Invoice Amount","Invoice Type","Invoice Date","Invoice Source","Payment Term","Invoice Currency","Payment Currency","Invoice Status ","Amount Paid","Payment Date","GL Date","Line Number","Line Type","Line Amount","PO Line Status ","Tax Classification Code","Overlay Dist Code Concat","PO Number ","Invoice Image URL"
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,21,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,22,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,23,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,24,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,25,"Item",8.99,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,26,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,27,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,28,"Item",10.04,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,29,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,30,"Item",4.39,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,31,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,32,"Item",14.30,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,33,"Item",10.04,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,34,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,35,"Item",4.39,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,36,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,37,"Item",4.94,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,38,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,39,"Item",7.14,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,40,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,41,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,42,"Item",4.71,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,43,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,44,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,45,"Item",14.25,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,46,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,47,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,48,"Item",14.30,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,49,"Item",12.34,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,50,"Item",40.80,,"STANDARD RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,51,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,52,"Item",12.54,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,53,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,54,"Item",18.00,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,55,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,56,"Item",0.62,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,57,"Item",5.09,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
"RBKC BU","Askews & Holts Library Service","21003150","MAIN","RBKC Council","7243540",337.22,"Standard","13/11/2025","INTLB02","Immediate","GBP","GBP","Not validated",0.00,,,58,"Item",10.20,,"ZERO RATE INPUT","R01.LLB008.400305.000000.000000000000.000000.000000",,
